id,dzId,t,a,y,g,ai,dec,st
1,3238325401,Boig per tu,Sau,1990,Rock català,S,anys 90,rock
2,2149463907,COTI X COTI,The Tyets,2023,Pop català,T,anys 2020,
3,3234556431,Una lluna a l'aigua,Txarango,2017,Mestissatge,T,anys 2010,festa
4,78944345,L'Empordà,Sopa de Cabra,1989,Rock català,S,anys 80,rock
5,14966842,Jenifer,Els Catarres,2011,Pop folk,E,anys 2010,festa
6,98128702,Sense tu,Teràpia de Shock,2011,Rock català,T,anys 2010,
7,3238541641,Pa amb oli i sal,Blaumut,2012,Pop català,B,anys 2010,folk
8,14955577,Camins,Sopa de Cabra,2001,Rock català,S,anys 2000,
9,681479,Que tinguem sort,Lluís Llach,1974,Cançó d'autor,L,anys 70,pop
10,1376216,La Flama,Obrint Pas,2004,Rock català,O,anys 2000,
11,10866248,Bon dia,Els Pets,1997,Rock català,E,anys 90,rock
12,3250714091,In the Night,Oques Grasses,2023,Pop modern,O,anys 2020,pop
13,3250733821,Vull estar amb tu,Els Catarres,2020,Pop modern,E,anys 2020,folk
14,11513142,Al mar,Manel,2013,Pop modern,M,anys 2010,folk
15,827411212,Escriurem,Miki Núñez,2019,Pop modern,M,anys 2010,pop
16,3264997071,La Marina sta morena,Figa Flawas,2024,Pop viral,F,anys 2020,pop
17,2915661041,Connectats,Buhos,2020,Pop català,B,anys 2020,
18,2950758591,Barcelona s'il·lumina,Buhos,2021,Pop català,B,anys 2020,festa
19,3250714231,La dansa del vestit,Txarango,2012,Festa,T,anys 2010,
20,3687560,Camals mullats,La Gossa Sorda,2003,Festa,L,anys 2000,
1001,3234560321,La gent que estimo,Oques Grasses,2021,Pop reggae,O,anys 2020,pop
1002,3234560331,Petar-ho,Oques Grasses,2021,Pop reggae,O,anys 2020,pop
1003,3250729491,Sta guai,Oques Grasses,2019,Pop reggae,O,anys 2010,pop
1004,3234560241,Elefants,Oques Grasses,2016,Pop reggae,O,anys 2010,pop
1005,3250729481,Serem ocells,Oques Grasses,2024,Pop reggae,O,anys 2020,pop
1006,3263441321,Cara de cul,Oques Grasses,2016,Pop reggae,O,anys 2010,pop
