id,dzId,t,a,y,g,ai,dec,st
21,2270596,Libre,Nino Bravo,1972,Balada,N,anys 70,
22,3090782,Mi gran noche,Raphael,1971,Pop,R,anys 70,pop
23,14393475,Como yo te amo,Rocío Jurado,1979,Balada,R,anys 70,balada
24,78909954,19 días y 500 noches,Joaquín Sabina,1999,Cantautor,J,anys 90,pop
25,970057,Mediterráneo,Joan Manuel Serrat,1971,Cantautor,J,anys 70,pop
26,14496771,Corazón partío,Alejandro Sanz,1997,Pop,A,anys 90,pop
27,1045123,Vivir así es morir de amor,Camilo Sesto,1980,Balada,C,anys 80,
28,836458,Eres tú,Mocedades,1973,Balada,M,anys 70,
29,75820479,"Soy un truhán, soy un señor",Julio Iglesias,1981,Pop,J,anys 80,pop
30,13188142,La Macarena,Los del Río,1993,Sevillanes,L,anys 90,pop
31,476739462,Aserejé,Las Ketchup,2002,Pop,L,anys 2000,pop
32,2176729,Ave María,David Bisbal,2002,Pop,D,anys 2000,pop
33,3370926,A quién le importa,Alaska y Dinarama,1986,Pop,A,anys 80,
34,10002837,La chica de ayer,Nacha Pop,1980,Pop,N,anys 80,rock
35,555188232,Malamente,Rosalía,2018,Flamenco urbà,R,anys 2010,flamenco
1193,5498240,Sangre Española,La Década Pop,,Cançó d'autor,L,,pop
1194,5498231,Si Tú No Estas Aquí,La Década Pop,,Cançó d'autor,L,,pop
1195,970021,Cantares,Joan Manuel Serrat,,Cançó d'autor,J,,pop
1196,970059,Aquellas Pequeñas Cosas,Joan Manuel Serrat,,Cançó d'autor,J,,pop
1197,972970,Cantares / Y Nos Dieron las Diez,Joan Manuel Serrat,,Cançó d'autor,J,,pop
1198,972940,Y Sin Embargo,Joan Manuel Serrat,,Cançó d'autor,J,,pop
1199,970024,Guitarra del Meson,Joan Manuel Serrat,,Cançó d'autor,J,,pop
1200,987524,Mediterráneo,Ana Belén,,Cançó d'autor,A,,pop
1201,1020124,Hoy Puede Ser un Gran Día,Joan Manuel Serrat,,Cançó d'autor,J,,pop
1202,970581,La Saeta,Joan Manuel Serrat,,Cançó d'autor,J,,pop
1203,970633,En Coulliure,Joan Manuel Serrat,,Cançó d'autor,J,,pop
1204,970023,Retrato,Joan Manuel Serrat,,Cançó d'autor,J,,pop
1205,970061,La Mujer Que Yo Quiero,Joan Manuel Serrat,,Cançó d'autor,J,,pop
1206,965861,Mediterraneo,Joan Manuel Serrat,,Cançó d'autor,J,,pop
1207,970631,Las Moscas,Joan Manuel Serrat,,Cançó d'autor,J,,pop
1208,970585,Que Va a Ser de Ti,Joan Manuel Serrat,,Cançó d'autor,J,,pop
1209,970032,A un Olmo Seco,Joan Manuel Serrat,,Cançó d'autor,J,,pop
1210,972945,Contigo,Joan Manuel Serrat,,Cançó d'autor,J,,pop
1211,970030,Españolito,Joan Manuel Serrat,,Cançó d'autor,J,,pop
1212,968267,Aves De Paso,Joan Manuel Serrat,,Cançó d'autor,J,,pop
1213,969961,Tu Nombre Me Sabe a Yerba,Joan Manuel Serrat,,Cançó d'autor,J,,pop
1214,965849,Cantares,Joan Manuel Serrat,,Cançó d'autor,J,,pop
1215,1020009,Para la Libertad,Joan Manuel Serrat,,Cançó d'autor,J,,pop
1216,972952,Aquellas Pequeñas Cosas/Ruido/El Muerto Vivo,Joan Manuel Serrat,,Cançó d'autor,J,,pop
1217,903698352,Amarillo,J Balvin,,Reggaeton,J,,pop
1218,602068062,Reggaetón en lo Oscuro,Wisin & Yandel,,Reggaeton,W,,pop
1219,142337317,Reggaetón Lento (Bailemos) (feat. Zion & Lennox),CNCO,,Reggaeton,C,,pop
1220,3638389092,"Daddy Yankee: Bzrp Music Sessions, Vol. 0/66",Bizarrap,,Reggaeton,B,,pop
1221,3165861441,Gasolina,Daddy Yankee,,Reggaeton,D,,pop
1222,714210042,China,Anuel AA,,Reggaeton,A,,pop
1223,623698142,Despacito,Luis Fonsi,,Reggaeton,L,,pop
1224,78316091,Yo Voy,Zion & Lennox,,Reggaeton,Z,,pop
1225,58786641,Limbo,Daddy Yankee,,Reggaeton,D,,pop
1226,3165862651,La Despedida,Daddy Yankee,,Reggaeton,D,,pop
1227,3165862381,Salgo Pa' la Calle,Daddy Yankee,,Reggaeton,D,,pop
1228,619949882,Con Calma,Daddy Yankee,,Reggaeton,D,,pop
1229,3165861861,Ella Me Levantó,Daddy Yankee,,Reggaeton,D,,pop
1230,3165861431,No Me Dejes Solo,Daddy Yankee,,Reggaeton,D,,pop
1231,3165861481,Tu Príncipe,Daddy Yankee,,Reggaeton,D,,pop
1232,3981500411,Echo,Daddy Yankee,,Reggaeton,D,,pop
1233,1066959132,Relación,Sech,,Reggaeton,S,,pop
1234,1387992152,Donde Estan las Gatas,Alex Gargolas,,Reggaeton,A,,pop
1235,677305422,Soltera (Remix),Lunay,,Reggaeton,L,,pop
1236,1690137117,X ÚLTIMA VEZ,Daddy Yankee,,Reggaeton,D,,pop
1237,3218807461,Bass Boost,Bass Boosted,,Trap,B,,pop
1238,3513404851,Bad Karma,Bass Boosted,,Trap,B,,pop
1239,3328822231,21 Phantom,Bass Boosted,,Trap,B,,pop
1240,3417829181,DJ Master Power,Bass Boosted,,Trap,B,,pop
1241,3218807311,Bass Booster,Bass Boosted,,Trap,B,,pop
1242,3086954731,Qué Pasaría...,Rauw Alejandro,,Trap,R,,pop
1243,1741494347,Tarot,Bad Bunny,,Trap,B,,pop
1244,608410242,Otra Noche en Miami,Bad Bunny,,Trap,B,,pop
1245,2486117701,Gently,Drake,,Trap,D,,pop
1246,531563411,Triste,Bryant Myers,,Trap,B,,pop
1247,2496106441,GRACIAS POR NADA,Bad Bunny,,Trap,B,,pop
1248,1155477872,TRELLAS,Bad Bunny,,Trap,B,,pop
1249,403707232,Krippy Kush,Farruko,,Trap,F,,pop
1250,704069392,Otra Vez,Kelmitt,,Trap,K,,pop
1251,2596935942,Lo siento bebe,Bad Bunny Chapin,,Trap,B,,pop
1252,704054322,Diles,Bad Bunny,,Trap,B,,pop
1253,133297136,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Arcangel,,Trap,A,,pop
1254,3420885021,bad bunnies,Zsá Zsá,,Trap,Z,,pop
1255,2154046487,TQG,KAROL G,,Latin pop,K,,pop
1256,2103405097,"Shakira: Bzrp Music Sessions, Vol. 53/66",Bizarrap,,Latin pop,B,,pop
1257,3002724121,Soltera,Shakira,,Latin pop,S,,pop
1258,420364332,La Bicicleta,Carlos Vives,,Latin pop,C,,pop
1259,364957401,Chantaje (feat. Maluma),Shakira,,Latin pop,S,,pop
1260,484274992,La tortura,Shakira,,Latin pop,S,,pop
1261,2278512877,Acróstico,Shakira,,Latin pop,S,,pop
1262,994491,Macarena,Los Del Río,,Latin dance,L,,pop
1263,686020062,Callaita,Bad Bunny,,Salsa,B,,pop
1264,2531671481,Cerca Del Mar,Merengue Party Dance,,Salsa,M,,pop
1265,68771815,Vivir Mi Vida,Marc Anthony,,Salsa,M,,pop
1266,586402,Ahora Quien,Marc Anthony,,Salsa,M,,pop
1267,1544242362,Mala,Marc Anthony,,Salsa,M,,pop
1268,493108642,Felices los 4 (feat. Marc Anthony),Maluma,,Salsa,M,,pop
1269,123345704,La Gozadera (feat. Marc Anthony),Gente De Zona,,Salsa,G,,pop
1270,1466619062,Pa'lla Voy,Marc Anthony,,Salsa,M,,pop
1271,547750,No Me Ames (with Marc Anthony),Jennifer Lopez,,Salsa,J,,pop
1272,15050441,Valio La Pena,Marc Anthony,,Salsa,M,,pop
1273,4708746,Palabras De Alma,Marc Anthony,,Salsa,M,,pop
1274,15050447,Se Esfuma Tu Amor,Marc Anthony,,Salsa,M,,pop
1275,15050446,Amigo,Marc Anthony,,Salsa,M,,pop
1276,15050445,Volando Entre Tus Brazos,Marc Anthony,,Salsa,M,,pop
1277,385074601,Imitadora,Romeo Santos,,Bachata,R,,pop
1278,142832906,Deja vu,Prince Royce,,Bachata,P,,pop
1279,1255475312,Te Extraño,Xtreme,,Bachata,X,,pop
1280,76036242,Stand by Me,Prince Royce,,Bachata,P,,pop
1281,141617003,Me Emborrachare,Grupo Extra,,Bachata,G,,pop
1282,855432692,Carita de Inocente,Prince Royce,,Bachata,P,,pop
1283,73786724,El Malo,Aventura,,Bachata,A,,pop
1284,559067372,Tatuaje,Elvis Crespo,,Bachata,E,,pop
1285,3677908682,Dardos,Romeo Santos,,Bachata,R,,pop
1286,75212170,Eres Mía,Romeo Santos,,Bachata,R,,pop
1287,69305455,Propuesta Indecente,Romeo Santos,,Bachata,R,,pop
1288,3086954821,Khé?,Rauw Alejandro,,Bachata,R,,pop
1289,3677908712,Ay! San Miguel,Romeo Santos,,Bachata,R,,pop
1290,3677908662,Lokita Por Mí,Romeo Santos,,Bachata,R,,pop
1291,2960714,Noche De Sexo,Wisin & Yandel,,Bachata,W,,pop
1292,3677908642,Better Late Than Never,Romeo Santos,,Bachata,R,,pop
1293,1892776297,El Pañuelo,Romeo Santos,,Bachata,R,,pop
1294,3677908652,Estocolmo,Romeo Santos,,Bachata,R,,pop
1295,637104912,Ella Quiere Beber,Anuel AA,,Bachata,A,,pop
1296,74733232,Cancioncitas de Amor,Romeo Santos,,Bachata,R,,pop
1297,2131900117,X SI VOLVEMOS,KAROL G,,Bachata,K,,pop
1298,385049401,Sobredosis (feat. Ozuna),Romeo Santos,,Bachata,R,,pop
1299,385049431,Bella y Sensual,Daddy Yankee,,Bachata,D,,pop
1300,3867905091,Cha Cha Cha,Bruno Mars,,Cha cha cha,B,,pop
1301,347228741,Chachachá,Jósean Log,,Cha cha cha,J,,pop
1302,2080403567,Cha Cha Cha,Käärijä,,Cha cha cha,K,,pop
1303,63166411,Cha Cha Cha,Mo' Horizons,,Cha cha cha,M,,pop
1304,145605088,Chachachá (acústico),Jósean Log,,Cha cha cha,J,,pop
1305,3526363,Cha Cha Cha,La Mosca Tsé-Tsé,,Cha cha cha,L,,pop
1306,2717656122,Cha Cha Cha,Finzy Contini,,Cha cha cha,F,,pop
1307,3422813971,Cha Cha Cha,Tom & Collins,,Cha cha cha,T,,pop
1308,2717656112,Cha Cha Cha,Finzy Contini,,Cha cha cha,F,,pop
1309,3296779381,Chachachá (feat. Santiago Manrique),Jacinta,,Cha cha cha,J,,pop
1310,2785680662,Cha Cha Cha,San Pacho,,Cha cha cha,S,,pop
1311,3704620612,Cha Cha Cha,Marlon Pichel,,Cha cha cha,M,,pop
1312,2256782277,Cha Cha Cha,Lord Of The Lost,,Cha cha cha,L,,pop
1313,3912550901,Chachachá,La Juntada De Los Artistas,,Cha cha cha,L,,pop
1314,2405946555,Cha Cha Cha,La Mosca,,Cha cha cha,L,,pop
1315,1115597392,Cha-Cha-Cha,Bonnie Banane,,Cha cha cha,B,,pop
1316,3837763891,Cha cha chá,Ana Carla Maza,,Cha cha cha,A,,pop
1317,403707292,Chá Chá Chá (feat. Jacob Forever),Farruko,,Cha cha cha,F,,pop
1318,2717656102,Cha Cha Cha,Finzy Contini,,Cha cha cha,F,,pop
1319,3445503,Le cha cha chá,Dusminguet,,Cha cha cha,D,,pop
1320,978369982,Cha-Cha-Cha,Los Tetas,,Cha cha cha,L,,pop
1321,18207567,Cha Cha Cha,Chocolate Caliente,,Cha cha cha,C,,pop
1322,52671991,Cha Cha Cha,Offer Nissim,,Cha cha cha,O,,pop
1323,1686167937,Cha Cha Cha,D Billions,,Cha cha cha,D,,pop
1324,2367475945,Cha Cha Cha,Turbo,,Cha cha cha,T,,pop
1325,1521694392,Los Cubanos,El Chacal,,Cha cha cha,E,,pop
1326,93738126,Chango,Ska Cubano,,Cha cha cha,S,,pop
1327,3281057261,CUBANO CHANT,Roberto Fonseca,,Cha cha cha,R,,pop
1328,141343491,"Soy Cubano, Soy Popular",David Calzado Y Su Charanga Habanera,,Cha cha cha,D,,pop
1329,16624702,Chan Chan,Banda Caio Rodriguez,,Cha cha cha,B,,pop
1330,93738150,Chango,Ska Cubano,,Cha cha cha,S,,pop
1331,6612695,Los Teenagers Bailan Changui,Marc Ribot,,Cha cha cha,M,,pop
1332,16624714,La Charanga,Banda Caio Rodriguez,,Cha cha cha,B,,pop
1333,3281057391,CUBANO CHANT (PIANO SOLO),Roberto Fonseca,,Cha cha cha,R,,pop
1334,93738124,Bembe for Chango,Ska Cubano,,Cha cha cha,S,,pop
1335,73636467,Changó,Ska Cubano,,Cha cha cha,S,,pop
1336,6890683,Yo Soy Cubano,The Chakachas,,Cha cha cha,T,,pop
1337,3125273221,Charuto Cubano,Kew,,Cha cha cha,K,,pop
1338,3578064,Cubano Chant,Ray Bryant,,Cha cha cha,R,,pop
1339,11127925,Gozando y a lo Cubano,Charanga Habanera,,Cha cha cha,C,,pop
1340,1391847922,Morenita,Hugel,,Cumbia,H,,pop
1341,1617780862,El Sueno,Hugel,,Cumbia,H,,pop
1342,4005462181,Dime Que Me Hiciste,Pipe Bueno,,Cumbia,P,,pop
1343,2786215632,"Perdonarte, ¿Para Qué?",Los Angeles Azules,,Cumbia,L,,pop
1344,3911083721,Vuelve,Ricky Martin,,Cumbia,R,,pop
1345,78538602,Cómo Te Voy A Olvidar,Los Angeles Azules,,Cumbia,L,,pop
1346,686540232,Amor a Primera Vista,Los Angeles Azules,,Cumbia,L,,pop
1347,4010230661,De la A a la Z,Ke personajes,,Cumbia,K,,pop
1348,2387974225,El Amor de Mi Vida,Los Angeles Azules,,Cumbia,L,,pop
1349,497423272,Nunca Es Suficiente,Los Angeles Azules,,Cumbia,L,,pop
1350,1525648102,Otra Noche,Los Angeles Azules,,Cumbia,L,,pop
1351,3319217761,Carteras Chinas,Elena Rose,,Cumbia,E,,pop
1352,497423352,"Ni Contigo, Ni Sin Ti",Los Angeles Azules,,Cumbia,L,,pop
1353,1007694382,Ella Se Olvidó de Mí,Los Angeles Azules,,Cumbia,L,,pop
1354,1739730157,Una Mujer Como Tú,Luciano Pereyra,,Cumbia,L,,pop
1355,548062002,Mi Niña Mujer,Los Angeles Azules,,Cumbia,L,,pop
1356,645160212,El Listón de Tu Pelo,Los Angeles Azules,,Cumbia,L,,pop
1357,3960895531,Por Ella,Los Angeles Azules,,Cumbia,L,,pop
1358,262222,Mérengué,Max Ransay,,Merengue,M,,pop
1359,3207796681,El Farolito,Yas Cepeda,,Merengue,Y,,pop
1360,1857194817,Me Enamoro de Ella,Juan Luis Guerra,,Merengue,J,,pop
1361,1899932027,De Tu Boca,Juan Luis Guerra,,Merengue,J,,pop
1362,1899932117,Si Tú Te Vas,Juan Luis Guerra,,Merengue,J,,pop
1363,1696098257,El Niágra En Bicicleta,Juan Luis Guerra,,Merengue,J,,pop
