id,dzId,t,a,y,g,ai,dec,st
36,76376889,Waterloo,ABBA,1974,Pop,A,anys 70,pop
37,858371,The Final Countdown,Europe,1986,Rock,E,anys 80,rock
38,664107,Take On Me,a-ha,1985,Pop,A,anys 80,
39,927900,Wind of Change,Scorpions,1991,Rock,S,anys 90,rock
40,638952,99 Luftballons,Nena,1983,Pop,N,anys 80,
41,14408104,Never Gonna Give You Up,Rick Astley,1987,Pop,R,anys 80,dance
42,6177415,Freed from Desire,Gala,1997,Dance,G,anys 90,dance
43,1411240392,Dragostea Din Tei,O-Zone,2003,Dance,O,anys 2000,dance
44,89629797,Blue (Da Ba Dee),Eiffel 65,1998,Dance,E,anys 90,dance
45,952788,Zombie,The Cranberries,1994,Rock,T,anys 90,rock
46,1184425,Chasing Cars,Snow Patrol,2006,Rock,S,anys 2000,rock
47,2961498,Pump Up The Jam,Technotronic,1989,Dance,T,anys 80,pop
48,134706074,No Limit,2 Unlimited,1993,Dance,2,anys 90,dance
49,884025,Dancing Queen,ABBA,1976,Pop,A,anys 70,pop
50,910474,Lovefool,The Cardigans,1996,Pop,T,anys 90,pop
1411,3379215171,007,PlaqueBoyMax,,Hard rock,P,,rock
1412,1454255222,Gold,Tolan Shaw,,Indie pop,T,,pop
1413,37749581,Pop 60,Amine Edge,,Dance,A,,dance
1414,858447,Carrie,Europe,,Hard rock,E,,rock
1415,105443992,Psycho,Best Guitar Songs,,Indie rock,B,,rock
1416,1415852562,POPSTAR,MELON,,Dance,M,,dance
1417,3726285342,Soda Pop,Vindaloo Singh,,Indie pop,V,,pop
1418,3030102541,Whiplash,aespa,,Indie pop,A,,pop
1419,3939571421,Raindrops,Rick Astley,,Dance,R,,dance
1420,3668456492,NOTICE ME,SoFaygo,,Hard rock,S,,rock
1421,2643827782,Euro Dance,MehiloveSound,,Eurodance,M,,dance
1422,105444012,Slow Hands,Best Guitar Songs,,Indie rock,B,,rock
1423,3346789891,In Die Bos,Chris Steyn,,Indie pop,C,,pop
1424,1748865227,Bring It On,Julien Glabs,,Indie pop,J,,pop
1425,3782949712,Cry for Help,Rick Astley,,Dance,R,,dance
1426,3782899342,Keep Singing,Rick Astley,,Dance,R,,dance
1427,2350095905,Yuve Yuve Yu,The HU,,Hard rock,T,,rock
1428,3888775851,.. in Den Op,Medimeisterschaften Augsburg,,Indie pop,M,,pop
1429,1569994852,Cry for Help,Amazonics,,Indie pop,A,,pop
1430,105444000,Thunderstruck,Best Guitar Songs,,Indie rock,B,,rock
1431,3819720661,Waiting On You,Rick Astley,,Dance,R,,dance
1432,105444018,Say It Ain't So,Best Guitar Songs,,Indie rock,B,,rock
1433,3786363542,Together Forever,Rick Astley,,Dance,R,,dance
1434,3783036902,Never Gonna Stop,Rick Astley,,Dance,R,,dance
1435,77617193,Euro Dance (2008),Ewan Dobson,,Eurodance,E,,dance
1436,1184426,You're All I Have,Snow Patrol,,Indie rock,S,,rock
1437,3786363612,Hold Me in Your Arms,Rick Astley,,Dance,R,,dance
1438,3786363592,Take Me to Your Heart,Rick Astley,,Dance,R,,dance
1439,3348770961,The Final Countdown 2025,David Guetta,,Hard rock,D,,rock
1440,3816551332,Whenever You Need Somebody,Rick Astley,,Dance,R,,dance
1441,16904947,Snow Patrol - Chasing Cars,Salvador Seixas,,Indie rock,S,,rock
1442,1576192,Play Me Like Your Own Hand,Snow Patrol,,Indie rock,S,,rock
1443,8631766,The Final Countdown (europe),Scott D. Davis,,Hard rock,S,,rock
1444,1576194,"It Doesn't Matter Where, Just Drive",Snow Patrol,,Indie rock,S,,rock
1445,27533081,Boogie Wonderland (with The Emotions),"Earth, Wind & Fire",,Dance,E,,dance
