id,dzId,t,a,y,g,ai,dec,st
51,4603408,Billie Jean,Michael Jackson,1982,Pop,M,anys 80,funk
52,9997018,Bohemian Rhapsody,Queen,1975,Rock,Q,anys 70,rock
53,7675403,I Will Always Love You,Whitney Houston,1992,Balada,W,anys 90,funk
54,13791930,Smells Like Teen Spirit,Nirvana,1991,Rock,N,anys 90,
55,426703682,Hotel California,Eagles,1976,Rock,E,anys 70,rock
56,14477354,Like a Rolling Stone,Bob Dylan,1965,Rock,B,anys 60,rock
57,88003859,Stairway to Heaven,Led Zeppelin,1971,Rock,L,anys 70,rock
58,7193834,Imagine,John Lennon,1971,Pop,J,anys 70,pop
59,461043312,Heroes,David Bowie,1977,Rock,D,anys 70,rock
60,14343282,One,U2,1991,Rock,U,anys 90,rock
61,116348632,Hey Jude,The Beatles,1968,Pop,T,anys 60,rock
62,1109731,Lose Yourself,Eminem,2002,Hip hop,E,anys 2000,hiphop
63,141827557,Shape of You,Ed Sheeran,2017,Pop,E,anys 2010,pop
64,92734438,Uptown Funk,Mark Ronson ft. Bruno Mars,2014,Funk,M,anys 2010,funk
65,60726278,Gangnam Style,PSY,2012,K-pop,P,anys 2010,kpop
1446,117517694,Ride the Lightning,6Souther,,Afrobeat,6,,pop
1447,1209299942,SURREAL,AB6IX,,Rock alternatiu,A,,rock
1448,84791811,Dancing Queen,ABBA,,Disco,A,,pop
1449,3655667712,Me Toco Verte Brillar,Afro Beat,,Afrobeat,A,,pop
1450,2781654422,Lose Yourself Eminem,Aiden Yoo,,Hip hop,A,,hiphop
1451,15527946,Don't Gimme That,Aloha From Hell,,Rock alternatiu,A,,rock
1452,16702367,Lucille,B.B. King,,Blues,B,,pop
1453,538674272,Rock Me Baby,B.B. King,,Blues,B,,pop
1454,538698692,The Thrill Is Gone,B.B. King,,Blues,B,,pop
1455,2724377392,SHEESH,BABYMONSTER,,K-pop,B,,kpop
1456,1564465082,Dynamite,BTS,,K-pop,B,,kpop
1457,2539734481,Miss You,Bang Yedam,,Rock alternatiu,B,,rock
1458,78231309,Hiphop,Benal,,Hip hop,B,,hiphop
1459,3099606,Skating In Central Park,Bill Evans,,Ska,B,,pop
1460,13146819,Breathe (feat. Sean Paul),Blu Cantrell,,Dancehall,B,,pop
1461,530300751,Jamming,Bob Marley & The Wailers,,Reggae,B,,pop
1462,2502150,Zimbabwe,Bob Marley & The Wailers,,Reggae,B,,pop
1463,2293791,Is This Love,Bob Marley & The Wailers,,Reggae,B,,pop
1464,86648039,Iron Lion Zion,Bob Marley & The Wailers,,Reggae,B,,pop
1465,86648035,Natural Mystic,Bob Marley & The Wailers,,Reggae,B,,pop
1466,2542705,Redemption Song,Bob Marley & The Wailers,,Reggae,B,,pop
1467,2237439,Buffalo Soldier,Bob Marley & The Wailers,,Reggae,B,,pop
1468,530300711,Waiting In Vain,Bob Marley & The Wailers,,Reggae,B,,pop
1469,530300621,"No Woman, No Cry",Bob Marley & The Wailers,,Reggae,B,,pop
1470,2542703,Could You Be Loved,Bob Marley & The Wailers,,Reggae,B,,pop
1471,3127387,Don't Worry Be Happy,Bobby McFerrin,,Reggae,B,,pop
1472,515113842,Born to Be Yours,Born To Be Yours,,Pop,B,,pop
1473,1296817992,Hip hop (sou eu e és tu),Boss AC,,Hip hop,B,,hiphop
1474,140037539,Hip hop,Boztown,,Hip hop,B,,hiphop
1475,3305810741,Gerente da Sicredi,Bruno & Barretto,,Country,B,,pop
1476,1666877332,Skate,Bruno Mars,,Ska,B,,pop
1477,24825551,Freedom,Burning Spear,,Reggae,B,,pop
1478,3406250,Columbus,Burning Spear,,Reggae,B,,pop
1479,3406249,Hail H.I.M,Burning Spear,,Reggae,B,,pop
1480,3406251,Road Foggy,Burning Spear,,Reggae,B,,pop
1481,555654722,Slavery Days,Burning Spear,,Reggae,B,,pop
1482,3518416961,I Wanna Dance With Somebody (Who Loves Me),Calum Scott,,R&B Soul,C,,funk
1483,81798762,Le Freak,Chic,,Disco,C,,pop
1484,134527024,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,,Dancehall,C,,pop
1485,718465762,Set Me Free,Clubland,,Disco,C,,pop
1486,659918652,Con Calma,Con Calma,,Pop,C,,pop
1487,383681181,Hip-hop,D.ACE,,Hip hop,D,,hiphop
1488,54814981,Hip Hop,DJ Khaled,,Hip hop,D,,hiphop
1489,12285552,Lose Yourself - Eminem (8 Mile Soundtrack from the Motion Picture)(Instrumental),DJ ReDo,,Hip hop,D,,hiphop
1490,3089385,Ouverture,Daft Punk,,House,D,,pop
1491,67238733,Lose Yourself to Dance,Daft Punk,,House,D,,pop
1492,3451956351,Hip hop,Demi Portion,,Hip hop,D,,hiphop
1493,3815664362,Jamaica Ska,Desmond Dekker,,Ska,D,,pop
1494,2425600,Skateaway,Dire Straits,,Ska,D,,pop
1495,537336932,Dragostea Din Tei,Dragostea Din Tei,,Pop,D,,pop
1496,3679758142,Bu Tepe Pullu Tepe,Düşbaz,,Folk rock,D,,rock
1497,3674299512,Gitme Turnam Gitme Yollar Iraktır,Düşbaz,,Folk rock,D,,rock
1498,2253499447,Help the Poor,Eric Clapton,,Blues,E,,pop
1499,2253499407,Ten Long Years,Eric Clapton,,Blues,E,,pop
1500,2253499417,Key to the Highway,Eric Clapton,,Blues,E,,pop
1501,2253499497,Hold On I'm Coming,Eric Clapton,,Blues,E,,pop
1502,2254909167,Riding With the King,Eric Clapton,,Blues,E,,pop
1503,986990902,Opus,Eric Prydz,,House,E,,pop
1504,3125116681,Lady (Ezra Collective Version),Ezra Collective,,Afrobeat,E,,pop
1505,2243221957,Niña Bonita,Feid,,Dancehall,F,,pop
1506,3125011661,Lady,Fela Kuti,,Afrobeat,F,,pop
1507,3125242501,Oyejo,Fela Kuti,,Afrobeat,F,,pop
1508,59693491,Zombie,Fela Kuti,,Afrobeat,F,,pop
1509,1171097582,Shakara,Fela Kuti,,Afrobeat,F,,pop
1510,3125255441,Let's Start,Fela Kuti,,Afrobeat,F,,pop
1511,3261092671,It's Not Right But It's Okay,Felix Jaehn,,R&B Soul,F,,funk
1512,1178372072,She Drives Me Crazy,Fine Young Cannibals,,Techno,F,,pop
1513,1348308962,When You Touch Me,Freemasons,,Disco,F,,pop
1514,920030012,Jó,Guilherme Camargo,,Reggae,G,,pop
1515,850709122,Aba,Guilherme Camargo,,Reggae,G,,pop
1516,505931952,Vibe,Guilherme Camargo,,Reggae,G,,pop
1517,1028456722,Escudo,Guilherme Camargo,,Reggae,G,,pop
1518,505931922,Hosana,Guilherme Camargo,,Reggae,G,,pop
1519,3411866381,Hip Hop,Guizmo,,Hip hop,G,,hiphop
1520,3412534581,Golden,HUNTR/X,,K-pop,H,,kpop
1521,3509269601,Dorada,HUNTR/X,,K-pop,H,,kpop
